Treatments,Inhibition_mg_protein,Block
CT,7010,1
CT,5830,2
CT,6340,3
CT,9880,4
CT,4640,5
CT,5580,6
CT,8710,7
CT,3390,8
CT,6800,9
WT,8340,1
WT,7210,2
WT,7230,3
WT,3490,4
WT,4790,5
WT,4960,6
WT,10500,7
WT,5990,8
WT,7930,9
GT,32000,1
GT,5130,2
GT,13400,3
GT,64000,5
GT,10200,6
GT,7950,8
GT,10200,9
HT,8460,1
HT,22400,2
HT,5740,3
HT,7680,4
HT,10800,5
HT,10000,6
HT,7490,7
HT,35600,8
HT,12300,9
PT,5750,1
PT,4060,2
PT,3970,3
PT,11200,4
PT,5670,5
PT,5770,6
PT,1270,7
PT,8910,8
PT,11100,9
